User,arroba,hora de publicación,publicación
NORDUR ❤🇲🇽,@ndurancoronado,1h,"""Voto parejo por Morena. #ClaudiaPresidentaDeMéxico2024"""
D∆V€ 💫Life Itself Is Music For Those Who Listen💫,@DAMM05,2h,"""Hart@ de tanta corrupción, sal y vota. #XochitlGálvezPresidente24"""
ꕥ Andrea X  ꕥ,@AndreaSegen,3h,"""Hoy por Xóchitl, por México, por la democracia. #YoVotarePorXóchitl"""
Luna Gil,@LunaGilVent,9h,"""Todos salgamos a votar. #YoVotarePorXóchitl"""
Alexis Daniel,@SocialDmocrata_,1h,"""Es hoy, es hoy. #ClaudiaPresidentaDeMéxico2024"""
Salvador Vega C.,@SalvadorVegaC,29min,"""Por el país que queremos, salgamos a votar todos. #XochiltGalvez"""
Glow✨🦋,@gloriadavila90,4h,"""No hay plazo que no se cumpla. Es hoy, salgamos masivamente. #XochitlGálvezPresidenta24"""
Magica-O-Mim,@PLakech,2h,"""Vota por vida, verdad y libertad. #XochitlGálvezPresidenta"""
E⃓v⃓i⃓l⃓ F⃓a⃓i⃓r⃓y⃓⭐️,@ada_rdea,1h,"""Hoy mandaremos a la secta al 💩. Buenos días. #XochitlYaGanó"""
Laura 🌸,@LauraMex,1h,"""Estos tipos quisieron quemar casillas en la escuela Bicentenario. Así hay que defender nuestras casillas. #EleccionesMéxico2024 #XochitlGálvezPresidenta"""
Luis Carpintero,@Luiscarpintero,8min,"""Me espere 6 años de terror, ¿que no me espere todo el día? Mi casilla está llena, la espera más hermosa de mi vida. #XóchitlGálvezPresidenta"""
Linda Sofia. 👸 ☘️,@linda_dimitrova,12h,"""Los Simpsons lo hicieron de nuevo. #XochitlGálvezPresidenta"""
Linda Sofia. 👸 ☘️,@linda_dimitrova,6h,"""No permitas que Morena termine con el futuro de México. Vota #XochitlGálvezPresidenta"""
Video Paranormal,@paranormal_vid_,11min,"""Oye @XochitlGalvez en ti confío. #XóchitlGálvezPresidenta"""
Gemma Santana 🇲🇽,@gemhsm,3min,"""Hace casi 70 años las mujeres votaron por primera vez. Hoy votamos por una mujer presidenta. #XochitlGálvezPresidenta"""
José Carlos,@JoseCuri,1h,"""En el consulado de Orlando llegaron camiones con acarreados de Morena. Vamos con #XochitlGálvezPresidenta"""
Lau González,@laugonzalezmx,19min,"""Mi voto no es secreto. #XochitlGálvezPresidenta"""
fifirulaiX,@Fifirulais3030,1h,"""Jálale la cadenita. Hoy hoy hoy! #XóchitlGálvezPresidenta"""
Ronin- Shaolin88,@RoninShaolin,1h,"""¡Fuera resentidos e ignorantes! #XochitlGalvezPresidenta"""
Ivonne L d K,@IvonneLdK,30feb,"""Histórico. Si ella es valiente defendiendo su fe, ¿cuánto más para defender a los mexicanos? #XochitlGálvezPresidenta"""
Leon Vega X,@LeonV3ga,4h,"""No olvides que este gobierno causó la muerte de 800,000 mexicanos en la pandemia. Sal a votar. #XochitlGálvezPresidenta"""
Juan Ma,@jmendezc1,2h,"""Llegó el día de cambiar el futuro. Llegó la hora de botarlos. #XóchitlGálvezPresidenta"""
Super RoLIC 💡👑💄🇲🇽 🇺🇦,@Lic12Rosio,30feb,"""Nadie para este tsunami ROSA en Nuevo León. #XóchitlGálvezPresidenta"""
Antonio Wolf Bot,@gog_antonio,42min,"""Misión cumplida. Voto mata encuesta. #XochitlGálvezPresidenta"""
Alfred M 🐕🇲🇽,@alfred13ts,2h,"""Hoy se manda a chingar a su madre a Morena. #XóchitlGálvezPresidenta"""
ꪶꪊꪀꪖ ؃ ᥫ᭡,@LunaDeCafe,22min,"""Listo. #XóchitlGálvezPresidenta"""
Xavier Tello, MD,@StratCons,"""45min,Listo. #XochitlGálvezPresidenta"""
El AventureroX con X🔥,@AventureroSoyYo,4h,"""Hoy gana Xóchitl. #XóchitlGálvezPresidenta"""
