User,arroba,hora de publicación,publicación
🦁 David Gustavo 🌱🚲,@DavidGustavoRR,35min,"""Before | After #ClaudiaArrasará #ClaudiaPresidentaDeMéxico2024 #35porClaudia"""
Anabelle Lopez 🇲🇽,@anabelle_10,35min,"""Fue, es y siempre será un honor estar con Obrador ❤️ @lopezobrador_ #AMLOElMejorPresidente #GraciasPorTanto #GraciasPorTodo #ClaudiaPresidentaDeMéxico2024 #ClaudiaPresidente2024 #MorenaVa"""
Guillermo Barrios 🇲🇽🇵🇸💪🏼,@MemoBHdz,36min,"""Misión cumplida, mis compatriotas! 🗳👍🏼🇲🇽 #EleccionesMéxico2024 #ClaudiaPresidentaDeMéxico2024 #PlanC_YaEstáEnMarcha"""
albertito.cv,@don_cv,37min,"""En respuesta a @Xochitl2024 Sentí mucho gusto de poder votar una vez más por MORENA #ClaudiaPresidentaDeMéxico2024"""
Sonia Lakes,@sonylakes,38min,"""Listo!!! 6 de 6 #ClaudiaPresidentaDeMéxico2024 #esunhonorestarconobrador"""
Lemuel Ramírez,@LemForeman,38min,"""Gracias #AMLO ahora vamos con #ClaudiaPresidentaDeMéxico2024, que siga la transformación de México #EleccionesMéxico2024"""
Victoria,@VictoriaCa69838,38min,"""En respuesta a @Claudiashein Listo mi voto!!! #ClaudiaPresidentaDeMéxico2024 #LaVictoriaConClaudia #VivaLa4T"""
LdeLeo98,@LdeLeo28,39min,"""#EleccionesMéxico2024 #ClaudiaPresidentaDeMéxico2024 Ahí está el ""go Negative"", Toma tu voto Xóchitl Gálvez ✊🏼"""
Eduardo Zamora López,@EEDZAMO,39min,"""Gracias Señor Presidente @lopezobrador_ #ClaudiaPresidentaDeMéxico2024"""
Eduardo Patiño,@Eduardo23900521,39min,"""¡Así las cosas! #ClaudiaPresidentaDeMéxico2024"""
💛🤙,@YezzuzFlowers,39min,"""Continuando con la transformación 🇲🇽👍🏻😎 RT #ClaudiaPresidentaDeMéxico2024 #EleccionesMéxico2024"""
Gaby Najar,@najaritas,40min,"""Por supuesto #ClaudiaPresidentaDeMéxico2024 🌹"""
FelipeSan.,@zapatapower4T,40min,"""Sigamos haciendo historia y de una vez enterremos a los corruptos Prianistas #CarroCompletoMorena #EsUnHonorEstarConObrador #ClaudiaPresidentaDeMéxico2024 #GraciasAMLO"""
El Art del Guti.,@guti_arturo,43min,"""En respuesta a @ChumelTorres #ClaudiaPresidentaDeMéxico2024"""
hernan reyes,@Hhernann09Reyes,43min,"""#ClaudiaPresidentaDeMéxico2024"""
Andrea González,@SoylaGonzalez,44min,"""Ya cumplí con mi país. #ClaudiaPresidentaDeMéxico2024"""
Mario Pulido V,@MarioPulidoV,45min,"""Amor con amor se paga. Mi querido presidente gracias por las ventajas que hoy regresas a nuestro país. #EsUnHonorEstarConObrador! Que siga la 4ta. Transformación. Bienvenida #ClaudiaPresidentaDeMéxico2024 🇲🇽❤️"""
SoyunbbDeUnAño,@Ivylure,46min,"""En respuesta a @alitomorenoc Si, y vote todo Morena 👾🇲🇽 #ClaudiaPresidentaDeMéxico2024"""
Néstor Baruch,@Baruch2001,46min,"""En respuesta a @Xochitl2024 @XochitlGalvez #ClaudiaPresidentaDeMéxico2024"""
Anna Grace 🦋,@ruelivann,46min,"""¡¡Gracias querido presidente @lopezobrador_ 🫡 !! Seguimos creyendo en tu proyecto y vamos por el Segundo Piso de la Cuarta Transformación con @Claudiashein 👻 @ClaraBrugadaM @fernandeznorona @PartidoMorenaMx #ClaudiaPresidentaDeMéxico2024 #ClaudiaArrasará"""
DIANA PEREZ,@DIANAPE11366463,46min,"""Listo vamos por #ClaudiaPresidentaDeMéxico2024"""
AraπCé V🎗️#freeAssangeNow 💚🇵🇸🕊️🙏,@acardnasv,47min,"""En respuesta a @rocionahle Gobernadora!! Gobernadora!! #NahleGobernadora #ClaudiaPresidentaDeMéxico2024 #EleccionesMéxico2024 #VotaMéxico2024"""
YAIR RAMIREZ SUAREZ,@skinger89,47min,"""Yo ya vote amigos.... Seguimos con la 4t #ClaudiaPresidentaDeMéxico2024"""
Angel (poeta torturado),@angelitou23,49min,"""Mi primera elección para el ejecutivo, con la convicción de que @Claudiashein no le falle a la confianza del pueblo mexicano. #EleccionesMéxico2024 #ClaudiaPresidentaDeMéxico2024"""
πpope Cifuentes,@PipopeCifuentes,49min,"""Listo, ejerciendo mi derecho como ciudadano. #LosBotsNoVotan #ClaudiaPresidentaDeMéxico2024"""
Maggie (Flor),@maggie_f_,49min,"""En respuesta a @catrina_nortena y @Claudiashein #ClaudiaPresidentaDeMéxico2024"""
Andres Hernandez,@AndresH18707932,50min,"""Las encuestas de salida hoy en estas elecciones las estan haciendo los propios votantes al estar subiendo el sentido de su voto en las boletas medfiante fotografias, asi que sin lugar a dudas va Ganando MORENA y por mucho y en Plan C. #ClaudiaPresidentaDeMéxico2024 🇲🇽"""
Janio_Lopez,@Janio_Lopez_,50min,"""Listooo va por la priemera presidenta y será @Claudiashein #ClaudiaPresidentaDeMéxico2024"""
Humanismo Mexicano,@AlecsGlez,50min,"""Así te agradezco mi amado líder @lopezobrador_ y le doy la bienvenida a #ClaudiaPresidentaDeMéxico2024 @Claudiashein, que siga la #4transformación"""
Panchito López 🇵🇸 #FreePalestine 🇵🇸,@PanchLopezCaste,51min,"""En respuesta a @MSEQUEYRO Yo, 5 de 5. #ClaudiaPresidentaDeMéxico2024 #ClaudiaArrasará #PlanC"""
Jhon🐾,@tiburonjhon,51min,"""#EleccionesMéxico2024 #ClaudiaPresidentaDeMéxico2024 #MexicoConClaudiaSheinbaum"""
Esperanza Andrade🇲🇽Tamps.,@opalorubi,53min,"""A pesar del sol y el calor 🔥 asistió mucha gente #ClaudiaPresidentaDeMéxico2024 #ClaudiaArrasará"""
Pertrad,@pertrad1,54min,"""#ClaudiaPresidentaDeMéxico2024"""
Guillermo Fernandez,@memoofdz7,54min,"""Gracias AMLO, Claudia Sheinbaum Presidenta #ClaudiaPresidentaDeMéxico2024"""
Yorch 🇲🇽🇷🇺🇸🇩,@Yorch_Petrucci,55min,"""Mi voto es libre, pero no secreto. #ClaudiaPresidentaDeMéxico2024"""
Gerardo Hernández,@Gerardo47888452,56min,"""En respuesta a @DiazGonzalo55 Ya valió Bertha sochil #ClaudiaPresidentaDeMéxico2024"""
Néstor Baruch,@Baruch2001,58min,"""@Claudiashein #PlanC #ClaudiaPresidentaDeMéxico2024"""
ⓁⒾⒹⒾⓄ ⒸⓄⓇⓉⒺⓈ,@LidioCortes,59min,"""Sufragio efectuado. De el lado correcto de la historia!! #ClaudiaPresidentaDeMéxico2024"""
Alfredo,@aletre2712,59min,"""#ClaudiaPresidentaDeMéxico2024 #EleccionesMx2024 yo ya hice mi parte... Ahora le toca a usted."""
angélica 🇲🇽,@rosaangelicacv,1h,"""#ClaudiaPresidentaDeMéxico2024 #EleccionesMéxico2024 @Claudiashein #6de6"""
Indy,@GirlieJKnightMx,11s,"""#YoVotéPorXóchitl 🇲🇽💙"""
Libertario Morelos,@Antonio58808325,15s,"""#YoVotéPorXóchitl #XóchitlGálvezPresidenta #NarcoPresidenteAMLO80 #EleccionesMéxico2024 ALV MORENA"""
Chiquilin 🇲🇽,@Chiquilin542,23s,"""En respuesta a @MariterePP y @Xochitl2024 ¡ A huevo que si! #YoVotéPorXochitl Stamos?"""
Karina Mendez,@Karsmndz,23s,"""Mi voto es LIBRE pero secreto. #YoVotéPorXochitl #XochitlGálvezPresidenta @Xochitl2024"""
Marcos Duarte,@M_Duarte7312,1min,"""#YoVotéPorXochitl @XochitlGalvez @Xochitl2024 @xochilove_rs @XovenesXingones"""
Ricardo Rosas,@RicardoRos65011,1min,"""En respuesta a @PonchoGutz Ok... #YoVotéPorXochitl"""
Adriana Niño de Rivera 🇺🇦🕊️☮️💙💛,@pildorin,2min,"""#YoVotéPorXóchitl"""
Abogángster 🇲🇽,@EdgarRaider,2min,"""En respuesta a @Juan_OrtizMX #YoVotarePorXóchitl #YoVotéPorXochitl"""
🇲🇽Jorge Ikeda🇺🇦🇮🇱,@jorgeikeda,3min,"""#YoVotéPorXochitl"""
FCastillo,@fcastillo_volvo,3min,"""#YoVotePorXochitl 😎👍🏼"""
Rodolfo Martínez Hurtado ,@rodolfomtz,4min,"""#YoVotéPorXóchitl"""
Javier Blancas,@JavierBlancas,5min,"""#YoVotePorXóchitl"""
Wicha M,@Wichammc,5min,"""En respuesta a @pedroferriz3 y @AccionNacional #YoVotéPorXochitl Así se vota en Jalisco"""
Lucifer_dinand,@Realfherbk,5min,"""#YoVotéPorXóchitl"""
Aracely Youtuber,@beibe_vega,5min,"""Salgan todos los que salimos a marchar , no nos confiemos , INUNDEMOS las urnas #YoVotéPorXóchitl"""
Rafael Ayala,@rafaayala,5min,"""#YoVotéPorXochitl"""
Salvadore Rodriguez,@SalvadorDuende,5min,"""#YoVotéPorXochitl listo"""
Travel Guy 42 ✈️ 🚍 🚗,@travel_guy_42,6min,"""#YoVotéPorXóchitl"""
Mizaki Garza,@GarzaMizaki,7min,"""En respuesta a @citizenedgar #YoVotéPorXochitl"""
Joel González,@JoelGonzle59221,7min,"""#YoVotéPorXochitl #XoxhitlGálvezPresidente2024"""
Wicha M,@Wichammc,7min,"""En respuesta a @GlodeJo07 #YoVotéPorXochitl Así se vota en Jalisco"""
Iris Medina,@IrisMed25503598,7min,"""Mi voto no es secreto 🩷 #YoVotéPorXochitl"""
