User,arroba,hora de publicación,publicación
J. Alberto,@BetoMeVa,08:43,"""Le di mi voto a @Claudiashein para jefa de gobierno, hoy se lo doy para presidenta. #ClaudiaPresidentaDeMéxico2024"""
Federico Steck,@Fedsteck,08:41,"""Estos pobres ingenuos van a votar por los asesinos de sus padres. #ClaudiaPresidentaDeMéxico2024 #ClaudiaArrasará"""
Mary Villa,@marycielovilla,08:38,"""A repetir la historia amigos, hoy lo haremos de nuevo... 🤗🤗🤜🤛 #ClaudiaPresidentaDeMéxico2024 #ClaudiaArrasará"""
Iban Asenjo Garde,@IbanAsenjo,08:15,"""Gaur hauteskundeak Mexikon. Gora #Morena, gora #ClaudiaPresidentaDeMéxico2024 baina, gehien bat, gora herri indigenak."""
rocio vazquez,@chioreya,08:24,"""Sigamos reconstruyendo nuestro amado país y rescatemos la democracia. #ClaudiaPresidentaDeMéxico2024"""
Sergio Angelo,@soysergioangelo,08:06,"""@lopezobrador ya votó. Participa y haz que tu voz cuente. #ClaudiaPresidentaDeMéxico2024"""
Nigromante,@Gramoxxi,08:38,"""Celebraron tragedias. Promueven golpe de estado porque saben que pierden. #ClaudiaPresidentaDeMéxico2024"""
Karla oropeza,@kr_oropeza,08:34,"""Cansadas de su complicidad con narcotraficantes. #ClaudiaArrasará #ClaudiaPresidentaDeMéxico2024"""
Sergio Álvarez,@SergioAlvarez4T,08:22,"""Nunca más un ser nefasto como Xóchitl en las boletas. #ClaudiaPresidentaDeMéxico2024"""
ALURKA,@ALURKA,08:46,"""Aquellos que odian a su misma gente defienden lo indefendible. #ClaudiaPresidentaDeMéxico2024"""
Adriana Salazar,@hhadris21,08:49,"""En mi casilla todo tranquilo. Gracias @INEMexico por escucharnos. #ClaudiaPresidentaDeMéxico2024"""
Chaira por convicción,@amoresAMLO,08:11,"""Xóchitl es una farsante. #EsClaudiaPresidenta2024 #ClaudiaPresidentaDeMéxico2024"""
#VotoMasivoPorMorena2024,@comsatori,08:06,"""Dos noticias para los opositores: disfruten. #ClaudiaPresidentaDeMéxico2024"""
Frank,@frankrguez10,08:36,"""TODOS A VOTAR POR LA DOCTORA. #ClaudiaPresidentaDeMéxico2024"""
m flores,@mxmariel,08:48,"""Por supuesto salir a votar por Claudia. #XochitlCompletamenteDerrotada"""
j. gonzález baum,@jgonzalezbaum,08:53,"""La corrupta de Xóchitl hará el ridículo. #ClaudiaPresidentaDeMéxico2024"""
María Flores,@RamosLenomcevid,08:04,"""Hoy es un gran día para seguir en el movimiento del pueblo. #ClaudiaPresidentaDeMéxico2024"""
Cuco🐔Coroco,@SogneQue,08:01,"""Es hora de patearles el culo al PRIAN. #ClaudiaPresidentaDeMéxico2024"""
El gato político,@elgatopolitico_,08:13,"""AMLO llega a votar. #ClaudiaPresidentaDeMéxico2024 #EleccionesMéxico2024"""
Vianey Sánchez,@VianeyS21869722,08:37,"""Salgamos a votar masivamente. #ClaudiaPresidentaDeMéxico2024"""
Luis,@rawmstock,08:57,"""Mexicanos, al grito de guerra. #ClaudiaPresidentaDeMéxico2024"""
GOH,@OHGama85,08:13,"""Ni un voto al PRIAN. #ClaudiaPresidentaDeMéxico2024"""
Luis Carpintero,@Luiscarpintero,08:22,"""Morena va a perder. Sal con 10 más a votar. #XochitlYaGanó"""
El Abraham chilletaX.,@ecuernavaco2,08:53,"""Hoy podemos cambiar el rumbo y elegir a Xóchitl. #YoVotarePorXóchitl"""
ᗰᗩᖇ 🤞🏻🩷,@FifiForever21,08:52,"""Ya en mi casilla esperando. ¡La victoria es nuestra! #YoVotarePorXóchitl"""
Raul Diaz Diez,@rauldiazdiez,08:36,"""Llegó la hora, salgamos a votar. #YoVotarePorXóchitl"""
NORDUR ❤🇲🇽,@ndurancoronado,08:29,"""Voto parejo por Morena. #ClaudiaPresidentaDeMéxico2024"""
D∆V€ 💫Life Itself Is Music For Those Who Listen💫,@DAMM05,08:02,"""Hart@ de tanta corrupción, sal y vota. #XochitlGálvezPresidente24"""
ꕥ Andrea X  ꕥ,@AndreaSegen,08:39,"""Hoy por Xóchitl, por México, por la democracia. #YoVotarePorXóchitl"""
Luna Gil,@LunaGilVent,08:44,"""Todos salgamos a votar. #YoVotarePorXóchitl"""
Alexis Daniel,@SocialDmocrata_,08:43,"""Es hoy, es hoy. #ClaudiaPresidentaDeMéxico2024"""
Salvador Vega C.,@SalvadorVegaC,08:31,"""Por el país que queremos, salgamos a votar todos. #XochiltGalvez"""
Glow✨🦋,@gloriadavila90,08:59,"""No hay plazo que no se cumpla. Es hoy, salgamos masivamente. #XochitlGálvezPresidenta24"""
Magica-O-Mim,@PLakech,08:28,"""Vota por vida, verdad y libertad. #XochitlGálvezPresidenta"""
E⃓v⃓i⃓l⃓ F⃓a⃓i⃓r⃓y⃓⭐️,@ada_rdea,08:39,"""Hoy mandaremos a la secta al 💩. Buenos días. #XochitlYaGanó"""
Laura 🌸,@LauraMex,08:54,"""Estos tipos quisieron quemar casillas en la escuela Bicentenario. Así hay que defender nuestras casillas. #EleccionesMéxico2024 #XochitlGálvezPresidenta"""
Luis Carpintero,@Luiscarpintero,08:52,"""Me espere 6 años de terror, ¿que no me espere todo el día? Mi casilla está llena, la espera más hermosa de mi vida. #XóchitlGálvezPresidenta"""
Linda Sofia. 👸 ☘️,@linda_dimitrova,08:35,"""Los Simpsons lo hicieron de nuevo. #XochitlGálvezPresidenta"""
Linda Sofia. 👸 ☘️,@linda_dimitrova,08:27,"""No permitas que Morena termine con el futuro de México. Vota #XochitlGálvezPresidenta"""
Video Paranormal,@paranormal_vid_,08:49,"""Oye @XochitlGalvez en ti confío. #XóchitlGálvezPresidenta"""
Gemma Santana 🇲🇽,@gemhsm,08:57,"""Hace casi 70 años las mujeres votaron por primera vez. Hoy votamos por una mujer presidenta. #XochitlGálvezPresidenta"""
José Carlos,@JoseCuri,08:32,"""En el consulado de Orlando llegaron camiones con acarreados de Morena. Vamos con #XochitlGálvezPresidenta"""
Lau González,@laugonzalezmx,08:41,"""Mi voto no es secreto. #XochitlGálvezPresidenta"""
fifirulaiX,@Fifirulais3030,08:41,"""Jálale la cadenita. Hoy hoy hoy! #XóchitlGálvezPresidenta"""
Ronin- Shaolin88,@RoninShaolin,08:24,"""¡Fuera resentidos e ignorantes! #XochitlGalvezPresidenta"""
