"num_debate","canal","username","fecha","comentario","num_likes","comentario_editado"
"2.0","unotv","jeikotrodriguez","28/04/2024","Pelea mucho la sochil jejeje pues esperemos q el q gane si cumpla todo","7.0","pelea mucho la xochitl jejeje pues esperemos que el que gane si cumpla todo"
"2.0","unotv","EfrainHuenchuman-ej4ib","28/04/2024","Mexicanos escuchen Voten bien y sepan Elegir Bien","1.0","mexicanos escuchen voten bien y sepan elegir bien"
"2.0","unotv","Suri_0512","28/04/2024","34:37 comienza","3.0","34:37 comienza"
"2.0","unotv","susanaalonso789","28/04/2024","Por favor, en el tercer debate, que haya propuestas claras y contundentes, eviten la violencia en todas sus formas. A estas alturas ya sabemos quién es quién!!","0.0","por favor,en el tercer debate,que haya propuestas claras y contundentes,eviten la violencia en todas sus formas.a estas alturas ya sabemos quién es quién!!"
"2.0","unotv","adrianamayorga3475","28/04/2024","En Jalisco está peor con los narcos","3.0","en jalisco está peor con los narcotraficantes"
"2.0","unotv","OTHTDK","28/04/2024","...Ahora entiendo el chisme que se dice que Maynez puede rebasar a Gálvez","0.0","...ahora entiendo el chisme que se dice que maynez puede rebasar a galvez"
"2.0","unotv","teresitacastellanos4919","28/04/2024","Ese lema q primero los pobres fue d Calderón","3.0","ese lema que primero los pobres fue d calderón"
"2.0","unotv","IbukijazAnimerLol","28/04/2024","¿Que pasó en AICM?  me llamo la atención lo que dijo la Xochitl no se a que se refiere.","0.0","¿que pasó en aicm?me llamo la atención lo que dijo la xochitl no se a que se refiere."
"2.0","unotv","chemonflakes","28/04/2024","puras mentiras todos jajaja","5.0","puras mentiras todos jajaja"
"2.0","unotv","DAVIDGALVEZOLIVERA-kh8xw","28/04/2024","Opino que esta muy bien. En general por que así es un debate respaldar platear ganarse la confianza a la gente. Me acuerdo cuando AMLO atacaba mucho expresamente anteriores y lo sigue haciendo hasta ahora es un sr. Autoritario y repartidor de millones.. fue a  donde a mi rancho hace dos año atrás y propuso construir la hospital general y más adecuado para el municipio y nunca se hizo la gente querían verlo en persona y nunca lo vieron paso en un trocota hasta en la televisión volvieron a verlo y pues eso no se hace como gobierno luego liego se nota que negocia con los nardos y lavado de dinero... en mi municipio nunca esta atendido por el gobierno yo por eso perdí la confianza le regale mi voto por mi pueblo por mexico etc. Pero creo ahora ya es una desepcio","3.0","opino que esta muy bien.en general por que así es un debate respaldar platear ganarse la confianza a la gente.me acuerdo cuando amlo atacaba mucho expresamente anteriores y lo sigue haciendo hasta ahora es un sr.autoritario y repartidor de millones..fue a donde a mi rancho hace dos año atrás y propuso construir la hospital general y más adecuado para el municipio y nunca se hizo la gente querían verlo en persona y nunca lo vieron paso en un trocota hasta en la televisión volvieron a verlo y pues eso no se hace como gobierno luego liego se nota que negocia con los narcotraficantes y lavado de dinero...en mi municipio nunca esta atendido por el gobierno yo por eso perdí la confianza le regale mi voto por mi pueblo por mexico etc.pero creo ahora ya es una desepcio"
"2.0","unotv","almamendoza1208","28/04/2024","que pedo con el 2:27:31 xq no se escucha la conclusión de Maynez? alguien que me diga qué fue lo que evitan que escuchemos?","0.0","que pedo con el 2:27:31 porque no se escucha la conclusión de maynez?alguien que me diga qué fue lo que evitan que escuchemos?"
