"num_debate","canal","username","fecha","comentario","num_likes","comentario_editado","Claudia","Maynez","Ninguno","Xóchitl"
"1","unotv","loga8214","07/04/2024","Esto parece ventaneando, Xochilt no contesto a ninguna pregunta","3","esto parece ventaneando,xochitl no contesto a ninguna pregunta","","","",""
"1","unotv","angelochoamanzo7296","07/04/2024","nunca vi ninguna campaña para ver que quisiera preguntarle a un candidato jajajajajajajaja","0","nunca vi ninguna campaña para ver que quisiera preguntarle a un candidato jajajajajajajaja","","","",""
"1","unotv","juanareyes2714","07/04/2024","Maines presidente!!!","11","Maynez presidente!!!","","","",""
"1","unotv","christianguezz5012","07/04/2024","Puro bla bla bla de los tres candidatos no se hace uno.","9","puro bla bla bla de los tres candidatos no se hace uno.","","","",""
"1","unotv","sinfinofficial","07/04/2024","Negligencia criminal","2","negligencia criminal","","","",""
"1","unotv","user-iy8zr2hh1m","07/04/2024","Pongan votaciones quien gano el debate y veran qe ganara claudia su proxima presidenta","2","pongan votaciones quien gano el debate y veran que ganara claudia su proxima presidenta","","","",""
"1","unotv","antoniomejiarobledo2962","07/04/2024","Las tabletas no sirven","10","las tabletas no sirven","","","",""
"1","unotv","antoniacaldera724","07/04/2024","Apoyo total para Claudia","17","apoyo total para claudia","","","",""
"1","unotv","karasLaureano","07/04/2024","Hasta hoy ví el debate no hacía falta… plan c apoyado por Claudia no hay menos.","1","hasta hoy ví el debate no hacía falta…plan c apoyado por claudia no hay menos.","","","",""
"1","unotv","todalarola302","07/04/2024","la candidata Claudia también cuestionó mucho sobre sus declaraciones patrimoniales a xochitl. es increíble que en este análisis no lo mencionen. quiere decir que UnoTv está a favor de la candidata xochitl.","1","la candidata claudia también cuestionó mucho sobre sus declaraciones patrimoniales a xochitl.es increíble que en este análisis no lo mencionen.quiere decir que unotv está a favor de la candidata xochitl.","","","",""
"1","unotv","josahernandez","07/04/2024","Claudia está más segura tiene un proyecto planes y mejoras para el desarrollo de México 🇲🇽 y su gente","19","claudia está más segura tiene un proyecto planes y mejoras para el desarrollo de méxico🇲🇽y su gente","","","",""
"1","unotv","MartinHernandez-nf1yz","07/04/2024","100% con Claudia","22","100%con claudia","","","",""
"1","unotv","miseñoralive","07/04/2024","11  millones de pesos para que falle el reloj…","1","11 millones de pesos para que falle el reloj…","","","",""
"1","unotv","octaviogarcia6603","07/04/2024","POR QUÉ LE CORTARON A CLAUDIA S.??   POR QUE LES ARDE QUE GANÓ EL DEBATE.!!      Y VAN A PERDER LA PRESIDENCIA.!!","1","por qué le cortaron a claudia s.??por que les arde que ganó el debate.!!y van a perder la presidencia.!!","","","",""
