User,arroba,hora de publicación,publicación
The Country?, @thecountry, None, "BECAAA= CLAUDIA !!!🗣😘"
Jose A, @josea, None, "Quieren llorar, ESTA ARRASANDO MORENA, les arde hasta el ALMA a todos los del PRIAN 😂"
Mafer Muval, @mafermuval, None, "HOY GANÓ MÉXICO 🗣"
GABRIEL LOMAS, @gabriellomas, None, "face-red-heart-shapeCLAUDIA"
Sinai Morales, @sinaimorales, None, "Y si morena compró votos, porque no me pagaron ?? 🤣🤣 yo voté por morena quiero mi pago entonces"
Victor Vazquez, @victorvazquez, None, "YO LE DI MI VOTO GRATIS A MORENA Y SE LO VOLVERÍA A DAR"
Isaac Tomas Quintero, @isaacquintero, None, "Xochitl es solo una señora que te encuentras en el mercado, pobres los que votaron por ella"
Mariana Galicia, @marianagalicia, None, "Xóchitl juguete de los del PAN"
Itziro Nimitz 🇲🇽, @itziro, None, "que paso las encuestas de Xóchitl fallaron 🤣🤣🤣 van a llorar 😭"
Xaami cnwnc, @xaamicnwnc, None, "MAYNEZ GANARA, NO LEO LLOROSface-blue-heart-eyes"
Maru, @maru, None, "Aquí dieron tamales para que votaran ‼🔥"
Gisela Lauterio, @gisela_lauterio, None, "viva Claudia"
Mafer Muval, @mafermuval, None, "AHUEVO, VAMOS MORENA 🗣"
papskitty, @papskitty, None, "Marisol Domínguez presidenta por un México limpio y seguro 💜💜🇲🇽🗣🔥🔥🔥‼‼‼‼‼"
Santiago Sixto Martinez, @santiagosixto, None, "Morena es igual a masacre y muerta"
Yarabit Vera, @yarabitvera, None, "SEAMOS SINCEROS CLAUDIA SERÁ COMO PORFIRIO DIAZ, SACARÁ A MÉXICO ADELANTE PERO NO A LOS CIUDADANOS. (Soy morenista 😭)"
Carlos Fernández, @carlosfernandez, None, "Claudia presidenta ♥"
Holaaaa, @holaaaa, None, "los que le van a Morena que bueno que disfrutan como todos somos pobres y su país se destruye, ¿felices? 😒"
Mafer Muval, @mafermuval, None, "CLAUDIAAAAAA 🗣"
papskitty, @papskitty, None, "Marisol Domínguez presidenta por un México limpio y seguro 💜💜🇲🇽🗣🔥🔥🔥‼‼‼‼‼"
Ricardo Villalobos, @ricardovillalobos, None, "Mexinzuela!!! mexinzuela!!!! ra ra ra!!!!"
Bonifacio Soto Rivera, @bonifaciosoto, None, "Claudia va a ganar"
Rosa Sánchez, @rosasanchez, None, "morena compro votos a $500"
Alex Ortiz, @alexortiz, None, "quiero ver la cara de Xóchitl cuando vea que no ganó 🫣"
Luis Cruz, @luiscruz, None, "CLAUDIA SU PRESIDENTA🇲🇽"
Majo Garrido, @majogarrido, None, "hay que votar por la gory, por qué fue una persona fría, calculadora 🫦"
Itziro Nimitz 🇲🇽, @itziro, None, "Xaami mañana ya lo confirmarás deja de llorar 🤣"
Guillermo Canek, @guillermocanek, None, "el papá de tu mamá es gay, Rafael?"
悲Banshee, @banshee, None, "la verdadera pregunta es, ¿quién votó por el PT nmms esa cosa vale vrga"
𝚌𝚛𝚊𝚣𝚢_𝚢𝚞𝚔𝚒°, @crazyyuki, None, "YA GANO CLAUDIAAAA 🥵"
Luis Cruz, @luiscruz, None, "CLAUDIA SU PRESIDENTA🇲🇽"
Manuel Martinez De La Luz, @manuelmartinez, None, "arriba CLAUDIA PRECIOSA!!"
Mafer Muval, @mafermuval, None, "TE AMO CLAUDIAAAAAA"
Ricardo Villalobos, @ricardovillalobos, None, "cómo ya somos Mexinzuela, y el desabasto de alimentos que habrá, ahora sí voy a bajar de peso. gracias mi presindeta."
Yarabit Vera, @yarabitvera, None, "CLAUDIA ES LA MÁS PREPARADA SOLO QUE SE MAL INFLUENCIA EN UN PARTIDO MEDIO CORRUPTO"
Mafer Muval, @mafermuval, None, "TE AMO CLAUDIAAAA 🗣 AQUI NO SOPORTAN TU PRESENCIA"
Carlos, @carlos, None, "Valió maynez"
Valentina Hernández, @valentinahernandez, None, "si gana Claudia me pongo a estudiar bien"
Ricardo Quintero Catellon, @ricardoquintero, None, "felicidades Claudia Claudia Claudia Claudia Claudia Claudia Claudia Claudia Claudia Claudia Claudia Claudia Claudia Claudia"
Gaticristo-2009, @gaticristo2009, None, "CLAUDIA ESTAMOS CONTIGO"
Nononono, @nononono, None, "me da cosa respirar el mismo aire que los que votaron por Xochitl"
Gabriel Rivas, @gabrielrivas, None, "Los que votaron por morena, prepárense para 6 @"
Carlos, @carlos, None, "MORENA🟥"
Cynthia Núñez, @cynthianunez, None, "VAMOS MAYNEZ ☀"
Guillermo Canek, @guillermocanek, None, "mejor sean como rafael gay"
Jorge Luis Sanchez, @jorgeluis, None, "Viva Maynez"
Gaticristo-2009, @gaticristo2009, None, "CLAUDIA ESTAMOS CONTIGO"
PoisonedDollitaa, @poisoneddollitaa, None, "MARISOL DOMÍNGUEZ PRESIDENTA ❗❗❗❗"
Cynthia Núñez, @cynthianunez, None, "Fuera morenaaaaaaa"
Crisanto Shalom shalom, @crisanto, None, "CLAUDIA SHEUBAM PARDO. PRESENTARÁ. mañana su gabinete de la república ganso BOLIVARIANA SOCIALISTA 🇨🇺🇻🇪🇦🇷🇻🇳🇸🇴🇲🇽"
Mafer Muval, @mafermuval, None, "Crema para la ardida de Xóchitl y sus seguidores 🫦"
KoЯnutz, @kornutz, None, "MARISOL DOMÍNGUEZ PRESIDENTA ❗🫦❗"
Guadalupe Aguayo, @guadalupeaguayo, None, "Claudia ❤❤❤🇲🇽"
Victor Vazquez, @victorvazquez, None, "C L A U D I A S H E I M B A U N"
Mafer Muval, @mafermuval, None, "VIVA CAIFANES 🗣🫵🏻"
ROSA ISELA NUCAMENDI GOMEZ, @rosaiselanucamendi, None, "DEJENSE DE PAYASADAS LOS NUMEROS NO MIENTEN CLAUDIA PRESIDENTA"
Rafael Guzmán, @rafaelguzman, None, "claudia"
Itziro Nimitz 🇲🇽, @itziro, None, "VOY A DORMIR TRANQUILO LASTIMA POR EL 🤡 QUE LE CREYO A XOCHITL 🤣🤣🤣"
Xaami cnwnc, @xaami, None, "PURO LLORONNNN"
Crisanto Shalom shalom, @crisanto, None, "VIVA EL OXXO. , VIVA EL NESQUIK , 🇨🇺🇲🇽🌿❤"
Guadalupe Aguayo, @guadalupeaguayo, None, "Claudia 💪❤ CLAUDIA CLAUDIA CLAUDIA CLAUDIA CLAUDIA 🇲🇽💪 PRESIDENTA"
Álvarez Cesar Machuca Alvarez, @cesarmachuca, None, "toda mi familia votó por Claudia cuál esconder votas no bromeen"
Yolanda Reyes, @yolandareyes, None, "Claudia 💪❤ CLAUDIA CLAUDIA CLAUDIA CLAUDIA CLAUDIA 🇲🇽💪 PRESIDENTA"
Fernando._.7u7, @fernando77, None, "Voten por Marisol Domínguez 😍que tiene 23 casi 24 votos 😍😍😍😍"
Vanessa Servín Martínez, @vanessamartinez, None, "Xóchitl dando patadas de ahogado...face-purple-crying"
Riroo Hasnburd, @riroohasnburd, None, "Puro ignorante sin futuro, y ridículo vota por Xóchitl, quieren que México vuelva a ser como cuando gobernaba Fox y Calderón, que suba el dólar y que México sea el 9 país más pobre del mundo? JAJA"
Miguel Muñoz, @miguelmunoz, None, "Vamos con la Dra. Claudia ✨✨"
Angelcaido, @angelcaido, None, "CLAUDIA GANÓ LA GENERACIÓN 🐀💎"
DR Droiid, @drdroid, None, "la Xóchitl me ofrecía 500$ por mi voto 🤣🤣🤣"
Mafer Muval, @mafermuval, None, "VAMOS CLAUDIAAAAAA"
Yarabit Vera, @yarabitvera, None, "SEAMOS SINCEROS CLAUDIA SERÁ COMO PORFIRIO DIAZ, SACARÁ A MÉXICO ADELANTE PERO NO A LOS CIUDADANOS. (Soy morenista 😭)"
Nononono, @nononono, None, "quietenle el internet a la Xochitl pobrecita"
Bryan Águila, @bryanaguila, None, "vamos claudia"
AxelMg, @axelmg, None, "MAINEZ BEBÉ YA GANÓ 🧡🧡🧡🧡🧡🧡"
Mafer Muval, @mafermuval, None, "CLAUDIA PA PRESIDENTA Y XÓCHILT PA LA CALLE CON SUS GELATINAS MILLONARIAS"
Yolanda Reyes, @yolandareyes, None, "Claudia 💪❤ CLAUDIA CLAUDIA CLAUDIA CLAUDIA CLAUDIA 🇲🇽💪 PRESIDENTA"
Explore Canada, @explorecanada, None, "❤❤Eliza preciosa! Hasta está vestida como una diosa! ❤❤"
Riroo Hasnburd, @riroohasnburd, None, "Puro ignorante sin futuro, y ridículo vota por Xochitl, quieren que México vuelva a ser como cuando gobernaba Fox y Calderon, que suba el dólar y que México sea el 9 país más pobre del mundo? JAJA"
Monse Mendez, @monsemendez, None, "YA DIGANNN QN GANOOOOO❇❇❇❇❇"
Gaticristo-2009, @gaticristo2009, None, "DONES LLORONES EN CONTRA DE MORENA"
Espinosa Cortez Ailin Iratze, @ailiniratze, None, "Ya me dio miedo si gana claudio ya valimos"
Victor Vazquez, @victorvazquez, None, "CLAUDIA CLAUDIA CLAUDIA CLAUDIA CLAUDIA CLAUDIA CLAUDIA CLAUDIA CLAUDIA CLAUDIA CLAUDIA CLAUDIA"
Axel Rojas, @axelrojas, None, "DAN LOS RESULTADOS EN MEDIA HORA"
Gerardo_Mur, @gerardomur, None, "gpi al pozole de lavadero 😍"
