User,arroba,hora de publicación,publicación
Luiss Del Valle  𝕏 💥,@LuissLm,10:29,"""Para los que van a votar por el PRIAN solo porque odian a AMLO. Ojo 👁️ #EleccionesMéxico2024 #EleccionesMx2024 #VotaMéxico2024 #Votaciones2024 #ClaudiaPresidentaDeMéxico2024"""
Sam sam,@Samsam921479,10:10,"""Hoy es cuando veremos que los tweets de miles de bots no pueden votar. Claudia Presidente #ClaudiaPresidentaDeMéxico2024"""
el pobrecillo hablador,@elpobrecillo,10:05,"""Amor con amor se paga #ClaudiaArrasará #ClaudiaPresidentaDeMéxico2024"""
Kbroncito BDK,@CruzDacrca76,10:36,"""#ClaudiaPresidentaDeMéxico2024 #ClaudiaArrasará #EsUnHonorEstarConClaudiaHoy"""
EnriqueBugsGonzalez,@EnriqueBugs,10:59,"""En respuesta a @Mandarinnee Triple Chingar a su Madre #AMLO #XochitlGálvezPresidenta24"""
Lonesome Chk,@LonesomeChk,10:59,"""Listo camaradas #EleccionesMéxico2024 #XochitlGálvezPresidenta24 Hay que sacarlos #NarcoCandidata #NarcoPresidente"""
Mónica,@monica_serret,10:59,"""En respuesta a @acastagne Yucatán a 39 con sensación térmica 44, pero aquí estamos #XochitlGálvezPresidenta24"""
Mr A,@Armando71555731,10:59,"""En respuesta a @JackSpartanXX Es una bendición tener a tu padre aún 🙏 el mío partió a ser una estrella más en el firmamento el 4 de febrero de éste año tenía mí viejo 83 años pero su legado continúa y nos enseñó a votar desde la mayoría de edad votar es de Xingones #XochitlGálvezPresidenta24"""
OTC,@ObedTrevino17,10:59,"""En respuesta a @abrahamendieta y @Xochitl2024 Mira! Puro clase mediero aquí en Ags!! Y TODOS VAMOS A VOTAR POR #XochitlGálvezPresidenta24 #EleccionesMéxico2024 joder tío!!"""
Montse González-Meza,@montsegmr,10:59,"""En respuesta a @tatclouthier Totalmente chaira! Por eso #XochitlGálvezPresidenta24"""
Juan Molina,@Juanmolina01,10:59,"""En respuesta a @lpazosp Mucho más que otras elecciones, zona oriente, León GTO 👍👍 #XochitlGálvezPresidenta24"""
Edgar V,@edgarvzz14,10:59,"""En respuesta a @Xochitl2024 Listos, por el deber cumplido por haber hecho nuestra parte, #XochitlGálvezPresidenta24"""
Israel Zamora,@mopso,10:59,"""En respuesta a @Claudiashein Y que muera este mal gobierno!! #XochitlGálvezPresidenta24"""
Maria,@Maria29781091,10:59,"""En respuesta a @EzraHadad Acá ya también todos fuímos. #XochitlGálvezPresidenta24 #EleccionesMéxico2024"""
Luis Alfredo 🧨,@Luis_Morito,10:59,"""#EleccionesMéxico2024 #XochitlGálvezPresidenta24 puro #PAN 💙"""
Yorker,@JRAMADRIGAL,10:59,"""Faltan 6 horas y México lo exige. Sal a votar, cambiemos el rumbo y hagamos patria. #XochitlGálvezPresidenta24"""
Rouse,@elfa79rivendell,10:58,"""En respuesta a @qtf Estoy con #XochitlGálvezPresidenta24 porque yo sí recuerdo cómo iba a Palacio a confrontar las irreverencias de Obrador, iba sola, sin miedo, resaltaba entre todos los cobardes. Me cae bien señora. No me defraude! 🩷🩷🩷🩷 #MareaRosaConXóchitl y #Taboada2024"""
Hilda Ranero R,@hranero,10:57,"""En respuesta a @JeronimoZarco y @Claudiashein La democracia de tus abuelos se dio con el PRI, el PAN y el PRD, no fue con #NarcoMorena. Andas muy perdido, votaste por la que quiere acabar con la democracia! #XochitlGálvezPresidenta24 ‼️"""
jorge almendrade,@jorge14998164,10:57,"""En respuesta a @XochitlGalvez #XochitlGálvezPresidenta24"""
Edgar V,@edgarvzz14,10:57,"""En respuesta a @lopezdoriga Ya votamos por #XochitlGálvezPresidenta24, como patriota voté para sacar a Morena y sus partidos satélites del Gobierno, fuera a los traidores."""
Sub-Zero,@arambar81,10:57,"""En respuesta a @ElTrumpista @JMilei y @JesusChavez_Mx Me gusta Milei... pero eso que pones es una jalada. Aquí está #XochitlGálvezPresidenta24 y citaremos por ella."""
Jorge Romero,@jru1133,10:57,"""¡Esto me genera felicidad! Para los que preguntaron 6 años ¿dónde estabas? Voy a traer a mi Xochitl ganadora en madriza todo su sexenio. #XochitlGálvezPresidenta24"""
🩷🌸𝓢𝓸𝓵 𝔂 𝓢𝓸𝓶𝓫𝓻𝓪🩷🌸🙏🏼🇲🇽🐂,@bonnybaezaj,10:57,"""🌞 A pleno rayo del sol pero no importa por mi MÉXICO todo! Vamos #XochitlYaGanó #XochitlGálvezPresidenta24 🩷🩷🩷🩷🌸🌸🌸🇲🇽🇲🇽🗳️👍🏼"""
🧠AquileX CaXtro👚,@AquiLesCastroIO,10:57,"""Vota vota vota #XochitlGálvezPresidenta24"""
Gee,@chiquitina_mx,10:57,"""Sin duda la elección más importante en la historia de nuestro país! Aún más que la del 2000. #FueraLosCriminalesDeMORENA #FueraGobiernoRateroyCorrupto #XochitlGálvezPresidenta24"""
Vanessa GuacaLeaks,@Vanesa39019357,10:56,"""Feliz de haber votado por #XochitlGálvezPresidenta24 y haber influido en al menos 10 más a que votaran por ella!! #NiUnVotoAlNarcoPartidoMorena"""
Karla X,@karlahivi,10:55,"""Todos votamos por ti y porque sabemos que vas a salvar a nuestro México adorado! Vamos #XochitlGálvezPresidenta24"""
Paton,@Paton_Alf,10:55,"""Preciosa de mi alma. Ya fui a votar para que mañana, enorgullezcas a tu nación volviendo a vender gelatinas... 🤌🏻 #XochitlGálvezPresidenta24"""
El Batman Que Ríe,@elbatmanquerie,10:55,"""Respondiendo a @CitlaCarvajaI @PartidoMorenaMx y 11 más Pinche 2 caras, esas maromas desnucadoras no las tiene ni Obama. #EleccionesMéxico2024 #XochitlGálvezPresidenta24"""
Mario Gro.,@mario7gro,10:54,"""#XochitlGálvezPresidenta24 Vamos 🇲🇽 sí se puede!!!"""
#NoPaguesMasGas,@ZONELEK,10:54,"""En respuesta a @CartonCalderon Cómo dijo Diego... llevo seis años acariciando este momento, solo por una cosa... mandarte a la chingada y QCHSMAMLO. #XochitlGálvezPresidenta24"""
Luis Ma X,@LuissMa99,10:53,"""#XochitlGálvezPresidenta24 #XochitlYaGanó Vamos, que esta marea Rosa nos lleve hasta el puerto de la victoria ✌️"""
Mayo Marino,@Mayo_Marino,10:53,"""En respuesta a @MariettoPonce Así es. Esa cara lo dice todo #XochitlYaGanó #XochitlGálvezPresidenta24"""
Mar Valdelamar,@MarValdelamar,10:53,"""Sin camiones, ni tortas, ni apoyos!! Vamos México por la defensa de nuestras libertades!! Saludos desde Tepic, Nayarit!! #XochitlGálvezPresidenta24"""
Humberto Gasca,@humberto_gasca,10:53,"""Listo, por nuestro México!! ✅🇲🇽🗳️🤜🏻 #XochitlGálvezPresidenta24 #yovotéporxóchitl"""
México contra el Kks #FueraMorena,@MexicoVsElKks,10:53,"""Que bonito se ve esto... ""el pueblo bueno y sabio"" ya sabe a quien correr este sexenio y así será. #XochitlGálvezPresidenta24"""
Sheila 🐦=𝕏,@SheilaMMSG,10:52,"""Después de 3 horas y media se logró. #XochitlGálvezPresidenta24"""
Carmen,@kikisozzy,10:52,"""VIDA, VERDAD Y LIBERTAD. #XochitlGálvezPresidenta24 #EleccionesMéxico2024"""
Fernandito X,@FerchMerlot,10:51,"""En respuesta a @XochitlGalvez #XochitlGálvezPresidenta24"""
MexicanaXingona,@Libertaria212,10:51,"""En respuesta a @bartije No soporto a este fulano. #XochitlGálvezPresidenta24"""
Karla 🎶💓,@Metallikarla,10:51,"""En respuesta a @Claudiashein ¡Que viva! #XochitlGálvezPresidenta24"""
Dr Cucaracho,@DrCucaracho,10:50,"""En respuesta a @gutierrezfalcon y @Claudiashein #EleccionesMéxico2024 ##XochitlGálvezPresidenta24"""
CamavingaZomb🏴‍☠️,@MartSanch1,10:50,"""Misión cumplida!! #XochitlGálvezPresidenta24"""
El Pinche Licenciado Carlos ! #Xochilover !,@MalAmigoGDL,10:49,"""Me da risa como todas las encuestadoras que daban ventaja a la lagartija 🦎 ahora solo Massive Caller sirve de referencia. #XochitlGálvezPresidenta24"""
Art,@arthurmkt,10:49,"""En respuesta a @LaloUrbanoM y @XochitlGalvez #YoYaVotéXXóchitl #XochitlGálvezPresidenta24"""
jose antonio muro contreras,@joseant62289343,10:48,"""Listo mi próxima presidenta @XochitlGalvez @Xochitl2024 #XóchitlGálvezPresidenta #VotaPorMéxico"""
Antarion Anti4T Ch41r0blaster,@ch41r0blaster,10:47,"""Respondiendo a @Humanismo4T La gente gritó #XochitlGálvezPresidenta24. #muerala4t"""
